channel,band,scoring_mode,trend_pct,seasonal_pct,residual_pct,component_variance_sum_pct_of_signal,covariance_pct_of_signal,resid_causal_pct_of_signal,resid_full_pct,resid_diff_causal_minus_full,resid_final_pct,decomp_overfit
DO_1_1,aerobic_DO,autocorr_aware,40.69,5.55,53.76,115.28,-15.28,61.98,50.08,11.9,55.44,False
DO_2_1,aerobic_DO,autocorr_aware,39.79,7.3,52.91,117.97,-17.97,62.42,48.38,14.04,56.89,False
DO_1_2,aerobic_DO,iid,37.02,14.34,48.63,115.2,-15.2,56.03,50.37,5.66,55.56,False
DO_2_2,aerobic_DO,autocorr_aware,30.14,19.18,50.68,119.4,-19.4,60.5,56.42,4.08,65.6,False
DO_1_3,aerobic_DO,iid,61.78,9.38,28.84,109.21,-9.21,31.5,28.81,2.69,36.86,False
DO_2_3,aerobic_DO,iid,63.1,6.21,30.69,110.41,-10.41,33.88,27.63,6.26,32.62,False
DO_1_4,postanoxic_DO,floor_freeze,12.65,8.0,79.35,120.98,-20.98,96.0,81.98,14.01,90.37,False
DO_2_4,postanoxic_DO,iid,29.94,6.1,63.96,132.6,-32.6,84.81,48.62,36.19,63.38,False
ORP_1_1,anoxic_ORP,iid,71.76,12.0,16.24,107.07,-7.07,17.39,17.33,0.06,13.23,False
ORP_2_1,anoxic_ORP,iid,59.97,17.53,22.5,110.75,-10.75,24.91,24.03,0.88,18.66,False
ORP_1_2,anoxic_ORP,iid,43.99,26.9,29.11,112.92,-12.92,32.88,38.99,-6.12,25.99,False
ORP_2_2,anoxic_ORP,iid,46.16,28.62,25.22,111.27,-11.27,28.06,39.38,-11.32,21.58,False
ORP_1_3,anoxic_ORP,iid,56.78,6.53,36.69,119.74,-19.74,43.93,24.31,19.62,43.26,False
ORP_2_3,anoxic_ORP,iid,63.88,8.28,27.84,108.54,-8.54,30.22,28.0,2.22,27.61,False
QR_1,recycle_flow,iid,58.47,7.31,34.22,117.94,-17.94,40.36,30.49,9.86,59.36,False
QR_2,recycle_flow,autocorr_aware,71.91,5.41,22.69,109.71,-9.71,24.89,16.13,8.76,20.62,False
QIR_1,recycle_flow,iid,51.06,11.76,37.18,113.78,-13.78,42.3,30.68,11.62,36.42,False
QIR_2,recycle_flow,iid,64.56,9.22,26.23,105.59,-5.59,27.69,25.29,2.4,40.21,False
inf_Q,influent,iid,33.63,30.81,35.55,115.83,-15.83,41.18,33.84,7.34,34.25,False
inf_COD,influent,iid,42.63,29.07,28.3,122.71,-22.71,34.73,29.56,5.17,35.79,False
inf_NH4,influent,iid,35.73,22.92,41.35,126.61,-26.61,52.35,54.08,-1.73,55.35,False
inf_TN,influent,iid,43.11,23.23,33.66,126.66,-26.66,42.63,46.42,-3.79,43.47,False
inf_TP,influent,iid,16.25,24.99,58.75,108.21,-8.21,63.58,50.06,13.51,65.46,False
inf_SS,influent,iid,4.86,14.7,80.44,129.19,-29.19,103.92,88.88,15.04,117.78,True
inf_pH,influent,iid,54.22,13.85,31.92,146.26,-46.26,46.69,32.14,14.54,35.88,False
inf_T,influent,iid,91.88,5.43,2.69,133.86,-33.86,3.6,1.95,1.65,2.36,False
eff_COD,effluent,iid,51.35,4.17,44.48,104.2,-4.2,46.34,36.72,9.62,39.64,False
eff_NH4,effluent,iid,2.1,7.61,90.29,119.68,-19.68,108.06,94.5,13.56,239.65,True
eff_TN,effluent,iid,8.77,23.7,67.52,133.84,-33.84,90.37,78.86,11.52,65.03,False
eff_TP,effluent,iid,65.09,2.97,31.94,114.63,-14.63,36.61,15.99,20.63,19.15,False
eff_sludge,effluent,iid,45.83,3.98,50.19,123.39,-23.39,61.94,50.43,11.5,43.7,False
eff_pH,effluent,iid,28.66,7.76,63.58,121.02,-21.02,76.95,60.74,16.2,65.59,False
eff_T,effluent,iid,94.67,1.49,3.84,103.81,-3.81,3.99,0.97,3.02,1.2,False
