channel,band,scoring_mode,threshold,input,rate_per_1000,ci_lo,ci_hi,n_events,n_valid,n_eff_used
DO_1_1,aerobic_DO,autocorr_aware,local Hampel k=3 on residual/robust_z,robust_z,40.6952,34.8579,46.5326,14926.0,366775.0,4401.3
DO_2_1,aerobic_DO,autocorr_aware,local Hampel k=3 on residual/robust_z,robust_z,40.5724,33.6467,47.4982,14881.0,366776.0,3117.596
DO_1_2,aerobic_DO,iid,local Hampel k=3 on η (innovation),innovation,6.3363,6.0795,6.5931,2324.0,366775.0,366775.0
DO_2_2,aerobic_DO,autocorr_aware,local Hampel k=3 on residual/robust_z,robust_z,26.5666,20.5967,32.5366,9744.0,366776.0,2787.4976
DO_1_3,aerobic_DO,iid,local Hampel k=3 on η (innovation),innovation,5.5156,5.276,5.7553,2023.0,366775.0,366775.0
DO_2_3,aerobic_DO,iid,local Hampel k=3 on η (innovation),innovation,6.718,6.4536,6.9824,2464.0,366776.0,366776.0
DO_1_4,postanoxic_DO,floor_freeze,"—  (floor/censor → freeze, §1.2)",censored_z,,,,,,
DO_2_4,postanoxic_DO,iid,local Hampel k=3 on η (innovation),innovation,27.5318,27.0022,28.0613,10098.0,366776.0,366776.0
ORP_1_1,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,6.5217,6.2612,6.7822,2392.0,366778.0,366778.0
ORP_2_1,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,5.7665,5.5215,6.0116,2115.0,366772.0,366772.0
ORP_1_2,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,34.8034,34.2102,35.3965,12765.0,366775.0,366775.0
ORP_2_2,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,4.7386,4.5164,4.9609,1738.0,366772.0,366772.0
ORP_1_3,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,24.47,23.97,24.9701,8975.0,366775.0,366775.0
ORP_2_3,anoxic_ORP,iid,local Hampel k=3 on η (innovation),innovation,19.5433,19.0953,19.9913,7168.0,366776.0,366776.0
QR_1,recycle_flow,iid,local Hampel k=3 on η (innovation),innovation,9.8962,9.5707,10.2217,3516.0,355288.0,355288.0
QR_2,recycle_flow,autocorr_aware,local Hampel k=3 on residual/robust_z,robust_z,36.9646,33.4885,40.4407,11493.0,310919.0,11317.4516
QIR_1,recycle_flow,iid,local Hampel k=3 on η (innovation),innovation,11.245,10.9038,11.5863,4124.0,366740.0,366740.0
QIR_2,recycle_flow,iid,local Hampel k=3 on η (innovation),innovation,24.1661,23.6685,24.6637,8841.0,365843.0,365843.0
inf_Q,influent,iid,local Hampel k=3 on η (innovation),innovation,42.3961,36.6605,48.1317,201.0,4741.0,4741.0
inf_COD,influent,iid,local Hampel k=3 on η (innovation),innovation,50.9474,44.694,57.2008,242.0,4750.0,4750.0
inf_NH4,influent,iid,local Hampel k=3 on η (innovation),innovation,124.5965,115.1008,134.0922,579.0,4647.0,4647.0
inf_TN,influent,iid,local Hampel k=3 on η (innovation),innovation,83.0698,75.2153,90.9243,394.0,4743.0,4743.0
inf_TP,influent,iid,local Hampel k=3 on η (innovation),innovation,153.6842,143.4279,163.9405,730.0,4750.0,4750.0
inf_SS,influent,iid,local Hampel k=3 on η (innovation),innovation,36.6316,31.2892,41.9739,174.0,4750.0,4750.0
inf_pH,influent,iid,local Hampel k=3 on η (innovation),innovation,62.1075,54.8927,69.3222,267.0,4299.0,4299.0
inf_T,influent,iid,local Hampel k=3 on η (innovation),innovation,21.6842,17.5421,25.8263,103.0,4750.0,4750.0
eff_COD,effluent,iid,local Hampel k=3 on η (innovation),innovation,34.4271,30.283,38.5712,256.0,7436.0,7436.0
eff_NH4,effluent,iid,local Hampel k=3 on η (innovation),innovation,85.8369,75.8609,95.8129,260.0,3029.0,3029.0
eff_TN,effluent,iid,local Hampel k=3 on η (innovation),innovation,55.5556,50.3358,60.7753,411.0,7398.0,7398.0
eff_TP,effluent,iid,local Hampel k=3 on η (innovation),innovation,54.4913,49.1916,59.791,384.0,7047.0,7047.0
eff_sludge,effluent,iid,local Hampel k=3 on η (innovation),innovation,16.4304,13.5623,19.2985,124.0,7547.0,7547.0
eff_pH,effluent,iid,local Hampel k=3 on η (innovation),innovation,39.4949,35.0703,43.9195,294.0,7444.0,7444.0
eff_T,effluent,iid,local Hampel k=3 on η (innovation),innovation,32.3751,28.3543,36.3959,241.0,7444.0,7444.0
