channel,band,scoring_mode,innov_kind,acf1_resid,acf1_innov,mabsacf_resid,mabsacf_innov,mabsacf_drop_pct,lb_pass_resid,lb_pass_innov,adf_p,adf_reject,kpss_p,n_eff_ratio
DO_1_1,aerobic_DO,autocorr_aware,robust_z,0.9762,0.9762,0.8322,0.8322,0.0,0.0,0.0,0.0,True,0.1,0.012
DO_2_1,aerobic_DO,autocorr_aware,robust_z,0.9832,0.9832,0.8341,0.8341,0.0,0.0,0.0,0.0,True,0.1,0.0085
DO_1_2,aerobic_DO,iid,innovation,0.9304,-0.1884,0.7793,0.0451,94.2128,0.0,0.024,0.0,True,0.1,0.6829
DO_2_2,aerobic_DO,autocorr_aware,robust_z,0.9849,0.9849,0.8841,0.8841,0.0,0.0,0.0,0.0,True,0.1,0.0076
DO_1_3,aerobic_DO,iid,innovation,0.9269,0.0467,0.6968,0.0426,93.8863,0.0,0.079,0.0,True,0.0182,0.9108
DO_2_3,aerobic_DO,iid,innovation,0.8576,0.0327,0.6247,0.0197,96.8465,0.0,0.083,0.0,True,0.1,0.9367
DO_1_4,postanoxic_DO,floor_freeze,censored_z,0.9133,0.9133,0.7411,0.7411,0.0,0.012,0.012,,,,0.0453
DO_2_4,postanoxic_DO,iid,innovation,0.8997,0.1033,0.8285,0.0273,96.7049,0.0,0.142,0.0,True,0.1,0.8127
ORP_1_1,anoxic_ORP,iid,innovation,0.9975,0.0343,0.9876,0.0314,96.8206,0.0,0.299,0.0,True,0.1,0.9337
ORP_2_1,anoxic_ORP,iid,innovation,0.999,-0.0399,0.9949,0.0605,93.919,0.0,0.055,0.0,True,0.1,0.9233
ORP_1_2,anoxic_ORP,iid,innovation,0.999,0.0384,0.9927,0.0337,96.6052,0.0,0.031,0.0,True,0.1,0.926
ORP_2_2,anoxic_ORP,iid,innovation,0.9986,-0.0312,0.991,0.0334,96.6297,0.0,0.161,0.0,True,0.1,0.9395
ORP_1_3,anoxic_ORP,iid,innovation,0.9969,0.0128,0.9763,0.0204,97.9105,0.0,0.291,0.0,True,0.1,0.9747
ORP_2_3,anoxic_ORP,iid,innovation,0.9897,0.1922,0.9653,0.1787,81.4876,0.0,0.043,0.0,True,0.0764,0.6776
QR_1,recycle_flow,iid,innovation,0.8847,0.1842,0.8128,0.0717,91.1786,0.0,0.159,0.0,True,0.01,0.6889
QR_2,recycle_flow,autocorr_aware,robust_z,0.9297,0.9297,0.8847,0.8847,0.0,0.0,0.0,0.0,True,0.1,0.0364
QIR_1,recycle_flow,iid,innovation,0.8606,0.0716,0.7307,0.0193,97.3587,0.0,0.417,0.0,True,0.1,0.8664
QIR_2,recycle_flow,iid,innovation,0.7935,0.0192,0.6931,0.0067,99.0333,0.0,0.555,0.0,True,0.1,0.9623
inf_Q,influent,iid,innovation,0.8024,0.1338,0.4191,0.0362,91.3624,0.0,0.321,0.0,True,0.1,0.764
inf_COD,influent,iid,innovation,0.7611,0.0337,0.3596,0.0082,97.7197,0.0,0.821,0.0,True,0.1,0.9348
inf_NH4,influent,iid,innovation,0.8949,-0.0192,0.5849,0.015,97.4355,0.0,0.37,0.0,True,0.1,0.9623
inf_TN,influent,iid,innovation,0.7749,0.0182,0.4063,0.0161,96.0374,0.0,0.321,0.0,True,0.1,0.9643
inf_TP,influent,iid,innovation,0.8286,-0.0485,0.4593,0.0208,95.4714,0.0,0.429,0.0,True,0.1,0.9075
inf_SS,influent,iid,innovation,0.4218,0.029,0.2755,0.0384,86.0617,0.107,0.5,0.0,True,0.1,0.9436
inf_pH,influent,iid,innovation,0.9689,-0.0177,0.8557,0.0101,98.8197,0.0,0.6,0.0,True,0.1,0.9652
inf_T,influent,iid,innovation,0.964,-0.0382,0.8066,0.0197,97.5576,0.0,0.679,0.0,True,0.1,0.9264
eff_COD,effluent,iid,innovation,0.654,-0.0787,0.4285,0.0182,95.7526,0.023,0.614,0.0,True,0.1,0.8541
eff_NH4,effluent,iid,innovation,0.7751,0.0316,0.2323,0.0208,91.0461,0.167,0.778,0.0,True,0.1,0.9387
eff_TN,effluent,iid,innovation,0.5834,0.0516,0.2999,0.0253,91.5639,0.023,0.386,0.0,True,0.1,0.9019
eff_TP,effluent,iid,innovation,0.5798,0.1166,0.407,0.0573,85.9214,0.095,0.333,0.0,True,0.1,0.7912
eff_sludge,effluent,iid,innovation,0.6126,-0.0721,0.282,0.0433,84.6454,0.378,0.311,0.0,True,0.1,0.8655
eff_pH,effluent,iid,innovation,0.1688,-0.051,0.1492,0.0163,89.0751,0.023,0.318,0.0,True,0.1,0.9029
eff_T,effluent,iid,innovation,0.6109,-0.0272,0.5907,0.0148,97.4945,0.023,0.25,0.0,True,0.1,0.947
