channel,track,family,d,D,p,q,fd,garch,lrd_flag,lrd_d_gph,aic,bic,accepted,fallback,gate
DO_1_1,min,arma,0,0,2,2,,True,True,0.172,-15557.97,-15525.39,False,True,windowed-LB 0.01<0.02
DO_1_2,min,arma,0,0,3,3,,True,True,0.163,-8093.84,-8048.22,True,False,accepted
DO_1_3,min,arma,0,0,3,3,,True,True,0.216,-12989.47,-12943.85,True,False,accepted
DO_1_4,min,floor,0,0,0,0,,False,False,,,,False,True,floor route (occ 0.90); censored-z
DO_2_1,min,arma,0,0,2,3,,True,True,0.226,-18209.94,-18170.83,False,True,windowed-LB 0.00<0.02
DO_2_2,min,arma,0,0,2,2,,True,True,0.31,-11937.88,-11905.29,False,True,windowed-LB 0.01<0.02
DO_2_3,min,arma,0,0,2,2,,True,True,0.328,-10617.87,-10585.29,True,False,accepted
DO_2_4,min,arma,0,0,3,3,,True,True,0.475,-5708.34,-5662.72,True,False,accepted
ORP_1_1,min,arma,0,0,3,2,,True,False,0.839,17195.09,17234.19,True,False,accepted
ORP_1_2,min,arma,0,0,2,2,,False,False,0.669,16816.19,16848.77,True,False,accepted
ORP_1_3,min,arma,0,0,1,3,,True,False,0.742,33713.76,33746.35,True,False,accepted
ORP_2_1,min,arma,0,0,1,1,,True,False,1.051,18433.61,18453.16,True,False,accepted
ORP_2_2,min,arma,0,0,2,2,,True,False,0.753,13825.0,13857.59,True,False,accepted
ORP_2_3,min,arma,0,0,2,3,,True,False,0.745,48503.7,48542.81,True,False,accepted
QR_1,min,arma,0,0,2,1,,True,False,0.705,62283.18,62309.25,True,False,accepted
QR_2,min,arma,0,0,2,3,,True,True,0.469,72859.59,72898.69,False,True,windowed-LB 0.02<0.02
QIR_1,min,arma,0,0,2,2,,True,False,0.617,51341.37,51373.95,True,False,accepted
QIR_2,min,arma,0,0,2,1,,True,False,0.745,74475.92,74501.99,True,False,accepted
inf_pH,hour,arma,0,0,1,0,,False,False,0.51,-6437.48,-6424.74,True,False,accepted
inf_T,hour,arma,0,0,2,0,,True,False,0.551,-6259.07,-6239.66,True,False,accepted
inf_SS,hour,arma,0,0,6,2,,True,True,0.313,60036.63,60094.87,True,False,accepted
inf_NH4,hour,arma,0,0,5,2,,True,True,0.323,28429.71,28481.3,True,False,accepted
inf_TP,hour,arma,0,0,6,2,,True,True,0.271,14375.99,14434.22,True,False,accepted
inf_TN,hour,arma,0,0,5,2,,True,True,0.398,29158.18,29209.93,True,False,accepted
inf_COD,hour,arma,0,0,6,1,,True,True,0.206,49739.94,49791.7,True,False,accepted
inf_Q,hour,arma,0,0,6,2,,True,True,0.253,61660.03,61718.25,True,False,accepted
eff_COD,hour,arma,0,0,6,2,,True,True,0.314,13762.28,13820.93,True,False,accepted
eff_TP,hour,arma,0,0,2,1,,True,True,0.451,-25404.98,-25378.91,True,False,accepted
eff_NH4,hour,arma,0,0,3,2,,True,True,0.214,-2295.19,-2259.05,True,False,accepted
eff_TN,hour,arma,0,0,6,1,,True,True,0.155,7611.7,7663.84,True,False,accepted
eff_pH,hour,arma,0,0,6,0,,True,True,0.289,-28043.98,-27998.36,True,False,accepted
eff_T,hour,arma,0,0,5,2,,True,False,0.762,-23031.88,-22979.74,True,False,accepted
eff_sludge,hour,arma,0,0,6,1,,True,True,0.342,-2186.87,-2134.73,True,False,accepted
