variable,cls,zone,role,group,track,train,range_lo,range_hi,t_start,t_end,n_rows,missing_pct,range_violation_pct,iqr_outlier_pct,censored_pct,mean,std,min,p50,max
DO_1_1,C,aerobic,nitrification/aeration,aerobic_do,min,1,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.3,0.0,1.559,0.0,0.8323,0.5263,-0.02,0.73,10.37
DO_1_2,C,aerobic,nitrification/aeration,aerobic_do,min,1,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.299,0.0,1.98,0.0,1.3377,0.6384,0.0,1.22,10.31
DO_1_3,C,aerobic,nitrification/aeration,aerobic_do,min,1,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.3,0.0,0.195,0.0,2.0092,0.7738,0.0,1.92,8.51
DO_1_4,C,post_anoxic,deep_denitrification_floor,postanoxic_do,min,1,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.303,0.0,10.932,0.0,0.0238,0.1072,-0.03,0.0,8.6
DO_2_1,C,aerobic,nitrification/aeration,aerobic_do,min,2,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.3,0.0,3.464,0.0,1.0089,0.5588,0.0,0.94,10.32
DO_2_2,C,aerobic,nitrification/aeration,aerobic_do,min,2,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.301,0.0,2.722,0.0,1.2109,0.5487,0.0,1.08,6.05
DO_2_3,C,aerobic,nitrification/aeration,aerobic_do,min,2,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,0.048,0.0,3.2354,1.2732,0.0,3.48,10.31
DO_2_4,C,post_anoxic,deep_denitrification_floor,postanoxic_do,min,2,-0.5,12.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.301,0.0,8.848,0.0,0.2345,0.3855,-0.01,0.1,5.32
ORP_1_1,C,anaerobic,P-release_redox,anoxic_orp,min,1,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,1.361,0.0,-219.9241,49.9012,-317.8,-226.47,-13.2
ORP_1_2,C,pre_anoxic_front,denitrification_front,anoxic_orp,min,1,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.299,0.0,0.586,0.0,-193.1394,93.1668,-418.77,-163.7,22.53
ORP_1_3,C,pre_anoxic_rear,denitrification_rear,anoxic_orp,min,1,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.299,0.0,0.0,0.0,-211.5669,142.8505,-500.93,-188.17,44.23
ORP_2_1,C,anaerobic,P-release_redox,anoxic_orp,min,2,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.299,0.0,6.798,0.0,-202.346,60.2496,-394.53,-211.67,14.47
ORP_2_2,C,pre_anoxic_front,denitrification_front,anoxic_orp,min,2,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.299,0.0,0.012,0.0,-297.8914,39.0906,-413.45,-286.87,-213.7
ORP_2_3,C,pre_anoxic_rear,denitrification_rear,anoxic_orp,min,2,-550.0,550.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,0.0,0.0,-332.828,171.2255,-494.33,-431.87,79.63
QR_1,A,recycle,external_recycle,flow,min,1,-50.0,8000.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,0.0,0.0,3929.0973,1713.0066,-66.0,4489.33,7437.33
QR_2,A,recycle,external_recycle,flow,min,2,-50.0,8000.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.297,0.0,0.0,0.0,2435.8108,2090.3785,-1066.67,3445.33,5837.33
QIR_1,A,recycle,internal_recycle,flow,min,1,-20.0,5000.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,1.452,0.0,3165.7181,447.2277,-6.67,3145.0,4121.33
QIR_2,A,recycle,internal_recycle,flow,min,2,-20.0,5000.0,2025-08-01 00:00:00,2026-04-13 17:17:00,368238,0.298,0.0,0.0,0.0,2358.7933,1306.9304,-6.67,2972.0,4521.5
inf_pH,D,influent,water_quality,influent,hour,0,0.0,14.0,2025-10-01 00:00:00,2026-04-19 00:00:00,4801,8.79,0.0,0.0,0.0,7.5206,0.7795,3.94,7.82,9.09
inf_T,D,influent,water_quality,influent,hour,0,-5.0,45.0,2025-10-01 00:00:00,2026-04-19 00:00:00,4801,0.0,0.0,0.0,0.0,16.3677,3.1268,11.5,15.7,24.61
inf_SS,D,influent,water_quality,influent,hour,0,0.0,5000.0,2025-10-01 00:00:00,2026-04-19 00:00:00,4801,0.0,0.0,0.0,0.0,142.1025,150.3258,0.1,114.7,1629.0
inf_NH4,D,influent,water_quality,influent,hour,0,0.0,200.0,2025-10-01 00:00:00,2026-04-19 00:00:00,4801,0.0,0.0,0.0,0.0,40.9311,16.7226,-4.8,43.91,80.54
