channel,track,decomp_pass,stl_iters,P1440,P720,P10080,P24,P168
DO_1_1,min,True,0,1.285,2.404,,,
DO_1_2,min,True,1,0.959,0.673,,,
DO_1_3,min,True,2,1.339,0.641,,,
DO_1_4,min,True,0,1.449,,,,
DO_2_1,min,True,1,1.647,3.389,,,
DO_2_2,min,True,2,1.495,3.783,,,
DO_2_3,min,True,1,1.557,4.564,,,
DO_2_4,min,True,1,0.712,,,,
ORP_1_1,min,True,1,1.724,1.635,,,
ORP_1_2,min,True,1,1.732,1.698,,,
ORP_1_3,min,False,3,2.832,1.464,,,
ORP_2_1,min,True,1,1.15,7.895,,,
ORP_2_2,min,True,1,1.042,5.851,,,
ORP_2_3,min,True,1,1.566,2.922,,,
QR_1,min,False,3,3.696,,1.677,,
QR_2,min,False,3,4.835,,3.053,,
QIR_1,min,True,1,0.772,,15.024,,
QIR_2,min,True,2,1.383,,8.808,,
inf_pH,hour,True,0,,,,1.102,6.787
inf_T,hour,True,0,,,,0.964,6.728
inf_SS,hour,True,1,,,,0.905,14.612
inf_NH4,hour,True,1,,,,1.504,3.965
inf_TP,hour,False,1,,,,2.646,3.381
inf_TN,hour,False,1,,,,3.009,4.201
inf_COD,hour,True,1,,,,1.587,4.595
inf_Q,hour,False,1,,,,2.309,3.542
eff_COD,hour,True,0,,,,0.833,5.756
eff_TP,hour,True,0,,,,1.556,3.417
eff_NH4,hour,False,1,,,,8.533,2.113
eff_TN,hour,True,1,,,,0.942,6.55
eff_pH,hour,True,0,,,,0.479,2.25
eff_T,hour,True,0,,,,0.399,4.666
eff_sludge,hour,True,0,,,,0.799,2.879
