channel,track,lb_passrate_resid,lb_passrate_innov,n_windows,acf1_resid,acf1_innov,mabsacf_resid,mabsacf_innov,adf_p_innov,adf_reject_innov,kpss_p_innov,kpss_stat_innov,arch_p_innov,arch_het_innov,arch_effect,signbias_p
DO_1_1,min,0.0,0.0,254,0.9762,0.9762,0.8322,0.8322,0.0,True,0.1,True,0.0,True,0.8725,0.0
DO_1_2,min,0.0,0.024,254,0.9304,-0.1884,0.7793,0.0451,0.0,True,0.1,True,0.0,True,0.0077,0.0
DO_1_3,min,0.0,0.079,254,0.9269,0.0467,0.6968,0.0426,0.0,True,0.0182,False,0.0705,False,0.0034,0.0
DO_1_4,min,0.012,0.012,254,0.9133,0.9133,0.7411,0.7411,,,,,,,,
DO_2_1,min,0.0,0.0,254,0.9832,0.9832,0.8341,0.8341,0.0,True,0.1,True,0.0,True,0.6847,0.0
DO_2_2,min,0.0,0.0,254,0.9849,0.9849,0.8841,0.8841,0.0,True,0.1,True,0.0,True,0.8991,0.0
DO_2_3,min,0.0,0.083,254,0.8576,0.0327,0.6247,0.0197,0.0,True,0.1,True,0.2373,False,0.0145,0.0
DO_2_4,min,0.0,0.142,254,0.8997,0.1033,0.8285,0.0273,0.0,True,0.1,True,0.0,True,0.0083,0.0
ORP_1_1,min,0.0,0.299,254,0.9975,0.0343,0.9876,0.0314,0.0,True,0.1,True,1.0,False,0.0004,0.66
ORP_1_2,min,0.0,0.031,254,0.999,0.0384,0.9927,0.0337,0.0,True,0.1,True,0.0,True,0.0554,0.1519
ORP_1_3,min,0.0,0.291,254,0.9969,0.0128,0.9763,0.0204,0.0,True,0.1,True,0.0115,True,0.0011,0.0154
ORP_2_1,min,0.0,0.055,254,0.999,-0.0399,0.9949,0.0605,0.0,True,0.1,True,0.9999,False,0.0004,0.7398
ORP_2_2,min,0.0,0.161,254,0.9986,-0.0312,0.991,0.0334,0.0,True,0.1,True,0.1238,False,0.0003,0.4881
ORP_2_3,min,0.0,0.043,254,0.9897,0.1922,0.9653,0.1787,0.0,True,0.0764,True,0.0,True,0.0154,0.0
QR_1,min,0.0,0.159,246,0.8847,0.1842,0.8128,0.0717,0.0,True,0.01,False,0.0,True,0.0031,0.0005
QR_2,min,0.0,0.0,216,0.9297,0.9297,0.8847,0.8847,0.0,True,0.1,True,0.0,True,0.8394,0.0
QIR_1,min,0.0,0.417,254,0.8606,0.0716,0.7307,0.0193,0.0,True,0.1,True,0.0,True,0.004,0.1415
QIR_2,min,0.0,0.555,254,0.7935,0.0192,0.6931,0.0067,0.0,True,0.1,True,0.0,True,0.0022,0.686
inf_pH,hour,0.0,0.6,25,0.9689,-0.0177,0.8557,0.0101,0.0,True,0.1,True,1.0,False,0.0009,0.5217
inf_T,hour,0.0,0.679,28,0.964,-0.0382,0.8066,0.0197,0.0,True,0.1,True,1.0,False,0.0033,0.0628
inf_SS,hour,0.107,0.5,28,0.4218,0.029,0.2755,0.0384,0.0,True,0.1,True,0.9967,False,0.0065,0.6457
inf_NH4,hour,0.0,0.37,27,0.8949,-0.0192,0.5849,0.015,0.0,True,0.1,True,0.0002,True,0.0237,0.5188
inf_TP,hour,0.0,0.429,28,0.8286,-0.0485,0.4593,0.0208,0.0,True,0.1,True,0.0504,False,0.0227,0.7691
inf_TN,hour,0.0,0.321,28,0.7749,0.0182,0.4063,0.0161,0.0,True,0.1,True,0.9995,False,0.0046,0.4177
inf_COD,hour,0.0,0.821,28,0.7611,0.0337,0.3596,0.0082,0.0,True,0.1,True,0.1915,False,0.0149,0.03
inf_Q,hour,0.0,0.321,28,0.8024,0.1338,0.4191,0.0362,0.0,True,0.1,True,0.9993,False,0.0042,0.1464
eff_COD,hour,0.023,0.614,44,0.654,-0.0787,0.4285,0.0182,0.0,True,0.1,True,1.0,False,0.0004,0.2611
eff_TP,hour,0.095,0.333,42,0.5798,0.1166,0.407,0.0573,0.0,True,0.1,True,1.0,False,0.0003,0.5365
eff_NH4,hour,0.167,0.778,18,0.7751,0.0316,0.2323,0.0208,0.0,True,0.1,True,1.0,False,0.0045,0.578
eff_TN,hour,0.023,0.386,44,0.5834,0.0516,0.2999,0.0253,0.0,True,0.1,True,0.8635,False,0.0041,0.2753
eff_pH,hour,0.023,0.318,44,0.1688,-0.051,0.1492,0.0163,0.0,True,0.1,True,1.0,False,0.0001,0.3231
eff_T,hour,0.023,0.25,44,0.6109,-0.0272,0.5907,0.0148,0.0,True,0.1,True,1.0,False,0.0002,0.3321
eff_sludge,hour,0.378,0.311,45,0.6126,-0.0721,0.282,0.0433,0.0,True,0.1,True,0.4961,False,0.0061,0.7746
