template_id,sensor_id,analyte,active_regime_id,zone_id,n_nominal,n_nonoverlap_24h,n_effective,distinct_days,distinct_months,season_coverage,bootstrap_stability,holdout_count,holdout_rows,holdout_far,support_validation_unit,support_validation_method,family_support_id,model_family_id,family_support_level,family_n_effective,family_distinct_months,family_bootstrap_stability,family_holdout_count,family_holdout_far,node_support_level,node_n_effective,node_distinct_months,node_reference_coverage,node_bootstrap_stability,node_holdout_count,node_holdout_rows,node_holdout_far,node_validation_unit,node_validation_method,support_level,FAR,score_eligible,node_validation_passed,action_eligible_candidate,limited_support_exit_status,family_exit_failed_reasons,node_exit_failed_reasons,veto_eligible,exit_failed_reasons,fallback_level,profile_covariance_mode,shrinkage_method,alpha_floor,alpha_used,covariance_condition_number,min_eigen_ratio,limited_support,action_limited,template_hash,topology_hash,track_id,swap_AUROC,swap_AUPRC,Top1,IE_track,event_jaccard,culprit_spearman,research_topology_confirmed,production_topology_verified,topology_verified,open_topology_alerts,claim_validation_status,common_mode_FAR,zone_coherent_FAR,process_guard_eligible,sensor_veto_eligible,post_ref_sensor_hours,report_eligible_hours,ood_hours,not_evaluable_hours,post_ref_share,coverage_loss_hours,report_coverage_rate,regime_label,family_days_l3,family_months_l3,family_stability,family_holdouts,family_far,node_days_l3,node_months_l3,node_coverage_l3,node_stability,node_holdouts,node_far,l3_blocker_set
D5-DO_1_1-R0,DO_1_1,DO,0,aerobic,9494,76,76,76,3,2,0.9174038647027647,3,76,0.06578947368421052,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R0-diagonal_robust_z-variable_regime_zone,D5-DO-R0-diagonal_robust_z,L3,76,3,0.9174038647027647,3,0.06578947368421052,L3,76,3,0.9950738916256158,0.8410425034849194,3,76,0.07894736842105263,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L3,0.06578947368421052,True,True,True,process_guard_admitted,none,none,False,none,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,4548632244.376826,2.198463068181065e-10,False,False,8de3b9929c603de6bc2bdf87fa442f17848f729a85e071e8a53ad144401ed669,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,action_grade_process_guard,0.04642857142857142,0.05714285714285714,True,False,0,0,0,0,0.0,0,0.0,R0,False,False,False,False,False,False,False,False,False,False,False,none
D5-DO_1_1-R1,DO_1_1,DO,1,aerobic,6877,71,71,71,3,2,0.8681963808610456,3,71,0.2676056338028169,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R1-full_shrinkage-variable_regime_zone,D5-DO-R1-full_shrinkage,L2,71,3,0.8681963808610456,3,0.2676056338028169,L2,71,3,1.0,0.893619316909321,3,71,0.352112676056338,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.2676056338028169,True,False,False,scientific_score_admitted,holdout_far,node_holdout_far,False,holdout_far|node_holdout_far,variable_regime_zone,full_shrinkage,oas,0.0,0.00042985121627791916,586.3983258039873,0.0017053254690468731,False,True,7022025be010b11a0cad9c511c236ff167f9a5ebc44c57b7ba1e58bc22f42856,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R1,False,False,False,False,True,False,False,False,False,False,True,family_far|node_far
D5-DO_1_1-R3,DO_1_1,DO,3,aerobic,5581,46,46,46,3,2,0.8495499143898848,2,15,0.26666666666666666,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R3-diagonal_robust_z-variable_regime_zone,D5-DO-R3-diagonal_robust_z,L2,46,3,0.8495499143898848,2,0.26666666666666666,L2,46,3,0.9897144883844653,0.8577916014822848,2,15,0.3333333333333333,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.26666666666666666,True,False,False,scientific_score_admitted,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far,node_blocked_holdouts|node_holdout_far,False,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far|node_blocked_holdouts|node_holdout_far,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,171822144.31847396,5.819971598925518e-09,False,True,5b395f54d94d19f696f836e39fff6db513321874296951418ceb0ed0e97a33d5,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R3,True,False,True,True,True,False,False,False,False,True,True,family_days_l3|family_stability|family_holdouts|family_far|node_holdouts|node_far
D5-DO_1_2-R0,DO_1_2,DO,0,aerobic,9494,76,76,76,3,2,0.9174038647027647,3,76,0.06578947368421052,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R0-diagonal_robust_z-variable_regime_zone,D5-DO-R0-diagonal_robust_z,L3,76,3,0.9174038647027647,3,0.06578947368421052,L2,76,3,0.9950738916256158,0.9061820943982193,3,76,0.3026315789473684,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.06578947368421052,True,False,False,scientific_score_admitted,none,node_holdout_far,False,node_holdout_far,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,4548632244.376826,2.198463068181065e-10,False,True,1423a797e84e82c6ded2c2ace2bd82e594977eddb59cedb963226aac1ee79196,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R0,False,False,False,False,False,False,False,False,False,False,True,node_far
D5-DO_1_2-R1,DO_1_2,DO,1,aerobic,6877,71,71,71,3,2,0.8681963808610456,3,71,0.2676056338028169,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R1-full_shrinkage-variable_regime_zone,D5-DO-R1-full_shrinkage,L2,71,3,0.8681963808610456,3,0.2676056338028169,L3,71,3,1.0,0.8792308050813656,3,71,0.14084507042253522,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.2676056338028169,True,False,False,scientific_score_admitted,holdout_far,none,False,holdout_far,variable_regime_zone,full_shrinkage,oas,0.0,0.00042985121627791916,586.3983258039873,0.0017053254690468731,False,True,fe1faeb3ea8ddc3723a0d76cf2fd611a3bb902158fd5421d1413bc5ee1c8e925,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R1,False,False,False,False,True,False,False,False,False,False,False,family_far
D5-DO_1_2-R3,DO_1_2,DO,3,aerobic,5581,46,46,46,3,2,0.8495499143898848,2,15,0.26666666666666666,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R3-diagonal_robust_z-variable_regime_zone,D5-DO-R3-diagonal_robust_z,L2,46,3,0.8495499143898848,2,0.26666666666666666,L2,46,3,0.9897144883844653,0.738624119226148,2,15,0.0,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.26666666666666666,True,False,False,scientific_score_admitted,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far,node_bootstrap_stability|node_blocked_holdouts,False,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far|node_bootstrap_stability|node_blocked_holdouts,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,171822144.31847396,5.819971598925518e-09,False,True,52e45ebf0de1fce33c5568aee96b97eb14c533e368cb3440e1e77d0d17e0291c,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R3,True,False,True,True,True,False,False,False,True,True,False,family_days_l3|family_stability|family_holdouts|family_far|node_stability|node_holdouts
D5-DO_1_3-R0,DO_1_3,DO,0,aerobic,9494,76,76,76,3,2,0.9174038647027647,3,76,0.06578947368421052,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R0-diagonal_robust_z-variable_regime_zone,D5-DO-R0-diagonal_robust_z,L3,76,3,0.9174038647027647,3,0.06578947368421052,L3,76,3,0.9950738916256158,0.8797334465554039,3,76,0.11842105263157894,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L3,0.06578947368421052,True,True,True,process_guard_admitted,none,none,False,none,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,4548632244.376826,2.198463068181065e-10,False,False,56c4091ffac8d2ffe4960f980a9883170bdf9144f95c2ee7dbbb5d41da945743,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,action_grade_process_guard,0.04642857142857142,0.05714285714285714,True,False,0,0,0,0,0.0,0,0.0,R0,False,False,False,False,False,False,False,False,False,False,False,none
D5-DO_1_3-R1,DO_1_3,DO,1,aerobic,6877,71,71,71,3,2,0.8681963808610456,3,71,0.2676056338028169,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R1-full_shrinkage-variable_regime_zone,D5-DO-R1-full_shrinkage,L2,71,3,0.8681963808610456,3,0.2676056338028169,L2,71,3,1.0,0.8946601459414483,3,71,0.2535211267605634,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.2676056338028169,True,False,False,scientific_score_admitted,holdout_far,node_holdout_far,False,holdout_far|node_holdout_far,variable_regime_zone,full_shrinkage,oas,0.0,0.00042985121627791916,586.3983258039873,0.0017053254690468731,False,True,3a125119ea003e43e944608f2054aac219cea75a9aea9bc268ddd9a2ae8aee71,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R1,False,False,False,False,True,False,False,False,False,False,True,family_far|node_far
D5-DO_1_3-R3,DO_1_3,DO,3,aerobic,5581,46,46,46,3,2,0.8495499143898848,2,15,0.26666666666666666,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R3-diagonal_robust_z-variable_regime_zone,D5-DO-R3-diagonal_robust_z,L2,46,3,0.8495499143898848,2,0.26666666666666666,L2,46,3,0.9897144883844653,0.8132666335999502,2,15,0.3333333333333333,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.26666666666666666,True,False,False,scientific_score_admitted,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far,node_blocked_holdouts|node_holdout_far,False,effective_blocks|bootstrap_stability|blocked_holdouts|holdout_far|node_blocked_holdouts|node_holdout_far,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,171822144.31847396,5.819971598925518e-09,False,True,4ce4920b8a3208d72c0bc5cf24ec67de707858d2956550fc591a5961da73bc79,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R3,True,False,True,True,True,False,False,False,False,True,True,family_days_l3|family_stability|family_holdouts|family_far|node_holdouts|node_far
D5-DO_1_4-R0,DO_1_4,DO,0,post_anoxic,9494,76,76,76,3,2,0.9174038647027647,3,76,0.06578947368421052,nonoverlap_calendar_day,daily_block_bootstrap_and_leave_one_month_out_robust_profile,D5-DO-R0-diagonal_robust_z-variable_regime_zone,D5-DO-R0-diagonal_robust_z,L3,76,3,0.9174038647027647,3,0.06578947368421052,L2,76,3,0.9950738916256158,0.5851660866396985,3,76,0.10526315789473684,nonoverlap_calendar_day,daily_block_residual_bootstrap_and_leave_one_month_out,L2,0.06578947368421052,True,False,False,scientific_score_admitted,none,node_bootstrap_stability,False,node_bootstrap_stability,variable_regime_zone,diagonal_robust_z,diagonal_robust_z,0.0,1.0,4548632244.376826,2.198463068181065e-10,False,True,6e2556eb576f6636a0282f584bb97ea32a50c90791d73ef7a13dffb90ae7aa96,7b1ba852f0405944538e558e8df7fe74468789604eb0d90372b1762be3ca036a,d5_local,0.9119444444444444,0.8695440576506779,0.7,,,,True,False,False,,scientific_score_grade,0.04642857142857142,0.05714285714285714,False,False,0,0,0,0,0.0,0,0.0,R0,False,False,False,False,False,False,False,False,True,False,False,node_stability
