reference_fraction,reference_end,regime_id,regime_label,occupied_calendar_days_upper_bound,distinct_months,family_L2_occupancy_horizon_pass,effective_support_recalculated,scope
0.7,2026-01-27 04:30:00,0,R0,76,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.7,2026-01-27 04:30:00,1,R1,71,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.7,2026-01-27 04:30:00,2,R2,29,2,False,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.7,2026-01-27 04:30:00,3,R3,46,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.8,2026-02-21 19:00:00,0,R0,76,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.8,2026-02-21 19:00:00,1,R1,71,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.8,2026-02-21 19:00:00,2,R2,54,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.8,2026-02-21 19:00:00,3,R3,46,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.9,2026-03-19 09:20:00,0,R0,76,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.9,2026-03-19 09:20:00,1,R1,71,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.9,2026-03-19 09:20:00,2,R2,80,4,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
0.9,2026-03-19 09:20:00,3,R3,46,3,True,False,descriptive_occupied_day_upper_bound_with_frozen_K4_assignments
